House Description,Price,Bedrooms,Bathrooms,Full Baths,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Area,Community,Condo,City,County,Province,Postal Code,Features,Parking Spaces,Parking,Is Waterfront,Has Pool,Interior,Interior Features,Heating,Fireplace,# of Stories,Has Basement,Basement,Separate Entrance,Exterior,Exterior Features,Construction,Foundation,Elementary,Middle,High,Foreclosure,RE / Bank Owned,Office,Bedrooms Above Grade,# of Garages,Garages,Half Baths,Fireplaces,Zoning,Lot Description,HOA Fees,HOA Fees Freq.,Condo Fee
"Attention INVESTORS!!! 50x150' lot zoned RF3 in a great neighbourhood for redevelopment. Over 1000 sq ft bungalow with great bones. Nice floorplan but does need extensive cosmetic updating. Newer furnace but wiring needs to be updated. Basement is prime for redevelopment with 2 rear entrances. Lot is tucked into a quiet street and perfect for a future infill. Options for subdivision or a duplex. Close to transit, schools, shopping and more!","$244,900",4,2.00,2,"1,017",0.17,1951,Single Family,Residential Detached Single Family,Raised Bungalow,12122 85 Street Nw,Edmonton,Eastwood,,Edmonton,ALBERTA,AB,T6B 3G6,See Remarks,,Double Garage Detached,No,No,Carpet,"Stove-Electric, Washer, Refrigerators-Two, Dryer",Forced Air-1,No,2,Yes,"Fully Finished, Full",No,Stucco,"Back Lane, Flat Site, Landscaped, Level Land, Schools, Subdividable Lot",Wood Frame,Concrete,,,,No,No,Courtesy Of Dave Ryan Of RE/MAX Real Estate,2,2,,,,,,,,
"This renovated five bedroom bungalow is move in ready for you and your family. On a beautiful, quiet street in Gold Bar, this home with a west facing yard has been meticulously updated and upgraded for you. NEW double garage, furnace, HWT, roof, kitchen, bathroom, appliances, doors, basement windows, lighting, carpet, and flooring. The main floor has been opened up to create a stunning space for living and entertainment, with a massive island as your centrepiece. Have an electric car or want extra power to the garage for a shop? Let us know as we can customize your power needs to the brand new garage. Immediate possession is available, so you can take advantage of your current bank rate and move in at your convenience.","$499,900",5,2.00,2,"1,075",0.13,1958,Single Family,Residential Detached Single Family,Bungalow,10308 44 Street Nw,Edmonton,Gold Bar,,Edmonton,ALBERTA,AB,T6A 1V7,"Detectors Smoke, No Animal Home, No Smoking Home, See Remarks",,Double Garage Detached,No,No,"Carpet, Vinyl Plank","Dishwasher-Built-In, Dryer, Garage Control, Hood Fan, Refrigerator, Stove-Electric, Washer",Forced Air-1,No,2,Yes,"Full, Fully Finished, Remodelled Basement",No,Vinyl,"Back Lane, Fenced, Landscaped, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Brett Loree Of Century 21 Bamber Realty Ltd,3,2,,,,,,,,
"Best Value in McKernan! This beautiful character bungalow sits on one of the largest lots on a quiet tree lined street in one of Edmontons most sought after neighborhoods. Main floor offers beautiful hardwood floors, coved ceilings, 2 bedrooms, main bath and renovated kitchen. Separate entrance to self-contained 1 bedroom in-law suite. High efficiency home has newer windows throughout most of the home as well as upgraded insulation in the walls and attic. !00 amp electrical upgraded service, upgraded plumbing as well as newer weeping tile and sump pump. Great investment opportunity, and an ideal lot to build your dream home!","$493,000",3,2.00,2,861,0.16,1950,Single Family,Residential Detached Single Family,Bungalow,11106 73 Avenue Nw,Edmonton,Mckernan,,Edmonton,ALBERTA,AB,T6G 0C4,"Vinyl Windows, Exterior Walls- 2x6', Insulation-Upgraded",,"Single Carport, Single Garage Detached",No,No,"Hardwood, Laminate Flooring","Dishwasher-Built-In, Dryer, Hood Fan, Washer, Refrigerators-Two, Stoves-Two",Forced Air-1,No,2,Yes,"Full, Fully Finished",Yes,"Vinyl, Cedar","Fruit Trees/Shrubs, Public Transportation, Schools, Shopping Nearby, Paved Lane",Wood Frame,Concrete,,,,No,No,Courtesy Of Jesse Maclean Of Century 21 Masters,1,1,,,,,,,,
"DOUBLE CORNER LOT ZONED RF3 IN QUEEN ALEXANDRA!! Attention developers and custom builders! This is a rare opportunity to snag a coveted double lot measuring 65' x 135' with a corner location (825 sq metres), giving you lots of options! Beautifully located close to Strathcona High School, transit, etc. Development plans are underway to build the Rollie Miles Recreation Centre just a few blocks away. The house will be vacant and ready for demolition April 30,2023. Take a drive by to see this awesome opportunity!","$618,000",3,2.00,2,"1,206",0.20,1957,Single Family,Residential Detached Single Family,Bungalow,10526 70 Avenue Nw,Edmonton,Queen Alexandra,,Edmonton,ALBERTA,AB,T6H 2E9,See Remarks,,Double Garage Detached,No,No,"Carpet, Linoleum","Refrigerators-Two, Stoves-Two",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,Stucco,"Back Lane, Paved Lane, Playground Nearby, Public Swimming Pool, Public Transportation, Schools, Shopping Nearby, Corner, Level Land, Subdividable Lot",Wood Frame,Concrete,Garneau School (K-6),J H Picard School (7-9),Strathcona School (10-12),No,No,Courtesy Of Barbara McCloy Of Schmidt Realty Group Inc,2,2,,,,,,,,
"Immaculate 60's bungalow! Beautifully maintained original show home is a preserved piece of art with its 60's charm including rounded coved ceiling, Tyndall stone fireplace, laundry chute, original oak hardwood under retro shag carpet, mahogany doors, and more! Main floor has a master plus 2 bedrooms with original hardwood floors, updated ceramic tile in the bathroom and kitchen, plus newer SS appliances combined with mid-century mahogany kitchen cupboards. Living room is greeted with tons of daylight from the large west-facing bay window. Fully developed basement with sauna, laundry room, brick wood-burning fireplace, large bar area, and grand entertainment space with cedar plank walls and brick archways. This home is a blast from the past with exceptional styling and architecture you won’t find in new homes. Situated on a very large lot that backs onto a field. Detached 2-car garage, carport /sunroom and firepit. Walking distance to playground, schools, ice rink, and amenities! Perfect for entertaining!","$349,995",3,1.00,1,"1,227",0.00,1960,Single Family,Residential Detached Single Family,Bungalow,Nw,Edmonton,Lynnwood,,Edmonton,ALBERTA,AB,T5R 1Y3,"Air Conditioner, Bar, Sauna; Swirlpool; Steam",,Double Garage Detached,No,No,"Ceramic Tile, Carpet Over Hardwood, Hardwood","Air Conditioner-Window, Dishwasher-Built-In, Garage Opener, Refrigerator, Stove-Electric, Washer, Window Coverings, Oven-Microwave, Storage Shed","Forced Air-1, Forced Air-2",Yes,2,Yes,"Full, Fully Finished",No,Stucco,"Fenced, Landscaped, Schools, Shopping Nearby, Backs Onto Park/Trees, Corner",Wood Frame,Concrete,,,,No,No,Courtesy Of Brandon Upright Of Real Broker,3,2,,,"Wood, Masonry",,,,,
"Gorgeous bungalow in the highly sought after area of Windsor Park! Full of character, this spacious fully developed bungalow with double detached garage offers 5 bedrooms, 2 full bathrooms, air conditioning, 2 fireplaces and a renovated basement. Brand new shingles June 2022 with warranty! On the main level, we have coved ceilings, triple pane windows, a large primary bedroom, 2 more good sized bedrooms, a full bathroom with walk in shower, living room, kitchen, and dining area. Separate entrance to the basement, on the lower level we have 2 more very spacious bedrooms, extra family room with flex space and another full 4 piece bathroom. Huge lot, low maintenance backyard with mature trees and a sunny sitting area. Maintenance free gutters, video door bell, and you are steps away from the University of Alberta! Minutes to the River Valley, and a short drive to downtown! Move in ready or perfect for a rental property. This location is incredible! Come see this house for yourself!","$859,000",5,2.00,2,"1,314",0.17,1949,Single Family,Residential Detached Single Family,Bungalow,9218 116 Street Nw,Edmonton,Windsor Park,,Edmonton,ALBERTA,AB,T6G 1R1,"Air Conditioner, Detectors Smoke, No Animal Home, No Smoking Home",,Double Garage Detached,No,No,"Hardwood, Linoleum","Microwave Hood Cover, Refrigerator, Stove-Gas, Washer, Dishwasher-Built-In, Dryer, Garage Opener",Forced Air-1,No,2,Yes,"Fully Finished, Full",No,Stucco,"Fenced, Low Maintenance Landscape, Public Transportation, Schools",Wood Frame,Concrete,,,,No,No,Courtesy Of Peki Chung Of Initia Real Estate,3,2,,,,,,,,
"Well maintained bungalow sits on a quiet street in the sought after west Edmonton community of Meadowlark Park. Main floor contains 3 bedrooms & 1 full bath, then a good sized living room, a dinning room and a well laid out kitchen. There is a separated entrance leading to the basement. The basement is fully finished with an additional room, a huge family room and a 3 pc bathroom, plus lots of storage space. The upgrades include newer windows, newer shingles, newer appliances. Walking distance to top rated schools. Close to bus stops, hospital, WEM and many other amenities. Great opportunity to live in or use it as a rental income property. Bright and clean. Move in ready!","$359,900",4,2.00,2,"1,070",0.13,1962,Single Family,Residential Detached Single Family,Bungalow,16124 90 Avenue Nw Nw,Edmonton,Meadowlark Park,,Edmonton,ALBERTA,AB,T5R 4W8,Deck,,Single Garage Detached,No,No,"Carpet, Hardwood","Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Refrigerator, Stove-Electric, Washer, Microwave Hood Cover, Window Coverings",Forced Air-1,No,2,Yes,"Fully Finished, Full",No,Vinyl,"Back Lane, Playground Nearby, Schools, See Remarks",Wood Frame,Concrete,,,,No,No,Courtesy Of Fan Yang Of Mozaic Realty Group,3,1,,,,,,,,
"Location, location, location!!! This property has a 60x130 lot available now on gorgeous tree-lined street full of other newer infill homes. Property features lots of trees to keep or remove as you desire and is close to schools, is a short walk to MacKinnon Ravine and the river valley trail system with quick access to transit (bus & LRT) and downtown. The lot is currently zoned RF1.","$724,900",2,1.00,1,612,0.00,1928,Single Family,Residential Detached Single Family,Bungalow,14212 101 Avenue Nw,Edmonton,Grovenor,,Edmonton,ALBERTA,AB,T5N 0K4,"Infill Property, R.V. Storage",2,Single Garage Detached,No,No,"Carpet, Linoleum",None,Forced Air-1,Yes,1,Yes,"Full, Unfinished",No,Wood,"Playground Nearby, Public Transportation, Schools, Shopping Nearby, Fruit Trees/Shrubs, Paved Lane",Wood Frame,Concrete,,,,No,No,Courtesy Of Deborah Schindel Of FairSquare Group Realty,2,1,,,"Wood, Mantel",,,,,
"Quaint bungalow in the desirable community of Royal Gardens. The main floor of the home features a spacious living room overlooking the dining room, with built in cabinets. The kitchen has been renovated in the last few years with custom cabinets, quartz counters and stainless steel appliances (2020). Three nice sized bedrooms, and a four-piece bathroom complete the main floor. The lower level boasts a family room with bick facing fireplace, bedroom, three-piece bath and large storage room. New high efficiency furnace (2021). You can enjoy a glass of wine on the deck looking onto the spacious backyard which boasts a large garden...perfect for someone with a green thumb! Conveniently located to shopping, schools and the LRT.","$399,500",4,2.00,2,"1,170",0.14,1966,Single Family,Residential Detached Single Family,Bungalow,11436 44a Avenue Nw,Edmonton,Royal Gardens,,Edmonton,ALBERTA,AB,T6J 0Z9,Deck,,Double Garage Detached,No,No,"Carpet, Laminate Flooring","Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Hood Fan, Refrigerator, Washer, Stove-Countertop Electric",Forced Air-1,Yes,2,Yes,"Full, Fully Finished",No,"Brick, Vinyl","Back Lane, Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Park/Reserve",Wood Frame,Concrete,,,,No,No,Courtesy Of Nadia Osman Of RE/MAX Elite,3,2,,,"Wood, Brick Facing",,,,,
"Great opportunity in Beacon Heights. Here is a home situated on a corner lot measuring 50 feet by 150 feet and zoned RF1 (Single Detached Residential Zone) that allows plenty of options for any future development considerations such as duplex housing, single family homes with secondary or garage suites and many more. This is also a great opportunity for someone as a starter home considering there is over $30,000 worth of upgrades to the house. The house features a brand new roof with new eaves and soffits, new vinyl windows, new kitchen cabinets, new set of appliances and a new bathroom. Inside the home you will find a spacious living room with an east facing window to bring in plenty of natural light. Also on the main floor are two bedrooms and updated bathroom featuring a jetted tub. Highlight of the home is a very spacious kitchen with brand new cabinets, and custom bay window. Basement has an additional spacious bedroom, a flex space that could also serve as a bedroom as well as a separate entrance.","$274,000",3,1.00,1,733,0.00,1955,Single Family,Residential Detached Single Family,Raised Bungalow,11938 41 Street Nw,Edmonton,Beacon Heights,,Edmonton,ALBERTA,AB,T5W 2M2,"Deck, Detectors Smoke, Exterior Walls- 2x6'",,"On Street, Parking Pad Cement or Paved",No,No,"Carpet, Ceramic Tile, Hardwood","Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Freezer",Forced Air-1,No,2,Yes,"Full, Partly Finished",Yes,Stucco,"Corner, Fenced, Flat Site, Fruit Trees/Shrubs, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Level Land, Public Swimming Pool, Subdividable Lot",Wood Frame,Block,Abbott School,Ivor Dent School,Eastglen,No,No,Courtesy Of Dragic Janjic Of RE/MAX River City,2,,,,,,58 x 123,,,
"Beautiful 4 bedroom Family home in desirable Lynnwood. This well maintained 1,043 sq. foot bungalow has had many upgrades over the years ..... newer shingles on the Home and garage, refinished hardwood flooring, French doors to raised deck, freshly painted, Chef's kitchen plus stainless steel appliances to name but a few. Relax in the inviting living room with its large South facing window. The dining area overlooks the back yard and deck. Three bedrooms up in addition to a 4 piece bath. Fully finished lower level with Family room and its impossibly large windows, rec. room for the Kids, separate laundry room, the 4th bedroom and a 3 piece bath. The fenced back yard is the perfect size for a Family. Double detached garage for your vehicles pleasure. Located close to 2 schools, Community League and shopping centre. Fantastic neighbourhood to watch your Kids grow.","$379,900",4,2.00,2,"1,043",0.00,1959,Single Family,Residential Detached Single Family,Bungalow,15624 83 Avenue Nw,Edmonton,Lynnwood,,Edmonton,ALBERTA,AB,T5R 3T7,Deck,,Double Garage Detached,No,No,"Carpet, Hardwood","Dishwasher-Built-In, Dryer, Garage Opener, Refrigerator, Stove-Electric, Washer, Window Coverings, Oven-Microwave, Storage Shed",Forced Air-1,No,2,Yes,"Full, Fully Finished",No,"Stucco, Vinyl","Fenced, Landscaped, Playground Nearby, Public Transportation, Schools, Shopping Nearby, Park/Reserve, Paved Lane",Wood Frame,Concrete,lynnwood,Hillcrest,"Jasper Place, St. F.X.",No,No,Courtesy Of Rick Lough Of RE/MAX Excellence,3,2,,,,,,,,
